epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9253,2.26607,4.2031,1.64402,0.00151,0.14286,0.10113,0.04705,1.65974,4.39859,1.31062,0.00020006,0.00020006,0.00020006
2,182.955,1.47813,3.08212,1.19408,0.00388,0.46032,0.23703,0.13741,1.43719,3.93677,1.12211,0.000393897,0.000393897,0.000393897
3,294.982,1.44776,2.5056,1.1225,0.0047,0.54365,0.39425,0.22382,1.52822,3.66578,1.1228,0.000566513,0.000566513,0.000566513
4,433.929,1.41684,2.07834,1.10186,0.91151,0.15464,0.54645,0.33599,1.34931,3.28923,1.04014,0.000717908,0.000717908,0.000717908
5,548.09,1.36137,1.89895,1.07327,0.85248,0.21878,0.42349,0.27159,1.40141,3.08344,1.06203,0.000848083,0.000848083,0.000848083
6,662.091,1.32873,1.75653,1.09808,0.80155,0.41253,0.46821,0.24841,1.40051,2.79433,1.04459,0.000957037,0.000957037,0.000957037
7,763.045,1.33173,1.6251,1.10287,0.58733,0.44841,0.5177,0.3293,1.33267,2.59668,1.10396,0.00100459,0.00100459,0.00100459
8,838.34,1.31687,1.56988,1.07888,0.68637,0.64207,0.67591,0.42188,1.24437,1.99987,1.07881,0.000933851,0.000933851,0.000933851
9,915.187,1.20633,1.41818,1.05658,0.63884,0.64255,0.68642,0.42881,1.24158,1.99022,1.08035,0.000863116,0.000863116,0.000863116
10,991.745,1.18032,1.35454,1.05121,0.79489,0.72175,0.78565,0.53181,1.10215,1.67491,1.04023,0.00079238,0.00079238,0.00079238
11,1071.38,1.19925,1.62583,1.04752,0.66564,0.70759,0.70933,0.47758,1.22099,1.85697,1.09998,0.000721645,0.000721645,0.000721645
12,1186.78,1.14754,1.4663,1.04079,0.91252,0.80316,0.84,0.60736,1.07478,1.39321,1.06749,0.000650909,0.000650909,0.000650909
13,1300.69,1.15345,1.39348,1.0381,0.83239,0.80038,0.83534,0.61942,1.06936,1.34356,1.04081,0.000580174,0.000580174,0.000580174
14,1414.29,1.13706,1.37962,1.04477,0.8778,0.71106,0.79578,0.57981,1.09695,1.37728,1.01809,0.000509438,0.000509438,0.000509438
15,1480.36,1.05803,1.27629,1.00259,0.84182,0.78968,0.8498,0.62071,1.09709,1.26267,1.01274,0.000438703,0.000438703,0.000438703
16,1547.79,1.06737,1.27059,1.01331,0.79759,0.79597,0.83916,0.5924,1.07404,1.23984,1.00891,0.000367967,0.000367967,0.000367967
17,1616.49,1.04131,1.22135,0.99279,0.92205,0.71861,0.84697,0.61625,1.0018,1.21467,0.99888,0.000297232,0.000297232,0.000297232
18,1686.2,0.99152,1.17646,0.98031,0.75962,0.88889,0.85541,0.62221,1.0215,1.18251,0.99224,0.000226497,0.000226497,0.000226497
19,1755.78,0.98624,1.15003,0.98157,0.89871,0.79365,0.86,0.62445,0.99568,1.17079,0.98428,0.000155761,0.000155761,0.000155761
20,1825.31,0.98733,1.15758,0.98649,0.89336,0.77432,0.86688,0.6298,1.00198,1.13872,0.98152,8.50255e-05,8.50255e-05,8.50255e-05
